user_email,user_name,category,time_spent,video_count
user_random_9a86b02bde084d02,user_random_9a86b02bde084d02,Entertainment,3923 min,147
user_random_9a86b02bde084d02,user_random_9a86b02bde084d02,Education,97 min,5
user_random_9a86b02bde084d02,user_random_9a86b02bde084d02,People & Blogs,673 min,81
user_random_9a86b02bde084d02,user_random_9a86b02bde084d02,Comedy,1938 min,130
user_random_9a86b02bde084d02,user_random_9a86b02bde084d02,Gaming,35383 min,557
user_random_9a86b02bde084d02,user_random_9a86b02bde084d02,Howto & Style,12 min,3
user_random_9a86b02bde084d02,user_random_9a86b02bde084d02,Film & Animation,1 min,1
user_random_9a86b02bde084d02,user_random_9a86b02bde084d02,Music,41 min,8
user_random_9a86b02bde084d02,user_random_9a86b02bde084d02,Sports,19 min,2
user_random_9a86b02bde084d02,user_random_9a86b02bde084d02,Science & Technology,113 min,14
